goId	description	size	overlap	interestGene	expect	enrichmentRatio	pValue	FDR
GO:0044267	cellular protein metabolic process	4630	176	ADCYAP1|1;PARP1|1;APLNR|1;AKT1|1;BIN1|1;AIRE|1;APLP2|1;AQP1|1;ARNT|1;ZFP36L1|1;C1QBP|1;C3|1;CAD|1;CASP1|1;CBLB|1;CDK6|1;CDKN1B|1;CFTR|1;CHD3|1;CHUK|1;CLTA|1;CTSK|1;CTSV|1;DDIT3|1;RCAN1|1;PHC1|1;EIF2S1|1;FGF10|1;FUT8|1;GSK3B|1;HIST1H1C|1;HIST1H2BD|1;HMBS|1;HSP90AB1|1;ILF3|1;KRT10|1;LCK|1;LCN1|1;LNPEP|1;MANBA|1;MDM2|1;MEF2C|1;MMP9|1;MTCP1|1;MYOC|1;NELL1|1;P4HA1|1;SERPINI2|1;PPA1|1;PPEF1|1;PPM1B|1;PPP4C|1;PRKCQ|1;MAPK8|1;PROX1|1;PSMD11|1;RABGGTB|1;RALB|1;RING1|1;RPL3|1;RPL35A|1;RPS7|1;CCL22|1;SDC2|1;SET|1;SMARCB1|1;SNRPB|1;SPI1|1;ADAM17|1;TADA2A|1;TGFA|1;THY1|1;TPR|1;EZR|1;XRCC5|1;BAG6|1;TRRAP|1;ULK1|1;FKBP6|1;CASK|1;IRS2|1;EIF3I|1;RIPK1|1;FADD|1;CCNK|1;EIF2B4|1;HERC2|1;S1PR2|1;MED20|1;RAPGEF2|1;SETD1A|1;RASSF2|1;TELO2|1;ABI2|1;FLOT1|1;STUB1|1;TNIP1|1;ANAPC10|1;TGOLN2|1;GIPC1|1;CCNI|1;MRPL3|1;RNF139|1;RAB3GAP1|1;LIMCH1|1;KLHDC10|1;LARP4B|1;OBSL1|1;UFL1|1;NCSTN|1;ZDHHC17|1;HARS2|1;CDK20|1;NIPBL|1;ANAPC13|1;BRMS1|1;RCHY1|1;ANAPC15|1;PHF19|1;FBXL4|1;HSPB8|1;AKAP8L|1;USP21|1;UBE2S|1;MRPS28|1;SENP1|1;NRBP1|1;SEPSECS|1;APH1A|1;EIF3L|1;SIRT7|1;TRIM33|1;PPIL3|1;ERRFI1|1;DHX29|1;GNL3L|1;WDYHV1|1;FANCL|1;TRIM68|1;SRBD1|1;RHOT1|1;YOD1|1;NHP2|1;TMEM165|1;PBK|1;WDR45B|1;RAD18|1;POGLUT1|1;BIRC6|1;PPP4R4|1;RAB40C|1;GORASP1|1;MEAF6|1;RMND5A|1;MRPS6|1;DDRGK1|1;GID4|1;FBXO31|1;RBM4B|1;STK40|1;MAGT1|1;KIRREL2|1;DCUN1D5|1;DOCK7|1;MYLK3|1;ACTR8|1;PTPMT1|1;FBXO27|1;ASB6|1;KCTD11|1;TICAM1|1;UBXN2A|1;ASXL1|1;C9orf72|1;LAMA1|1;DUSP28|1	128.7827492	1.366642669	3.41E-07	0.005415044
GO:0006464	cellular protein modification process	3699	142	ADCYAP1|1;PARP1|1;APLNR|1;AKT1|1;APLP2|1;ARNT|1;ZFP36L1|1;C3|1;CAD|1;CBLB|1;CDK6|1;CDKN1B|1;CFTR|1;CHD3|1;CHUK|1;RCAN1|1;PHC1|1;EIF2S1|1;FGF10|1;FUT8|1;GSK3B|1;HIST1H1C|1;HIST1H2BD|1;HMBS|1;HSP90AB1|1;ILF3|1;KRT10|1;LCK|1;LNPEP|1;MANBA|1;MDM2|1;MEF2C|1;MMP9|1;MTCP1|1;MYOC|1;P4HA1|1;PPEF1|1;PPM1B|1;PPP4C|1;PRKCQ|1;MAPK8|1;PROX1|1;PSMD11|1;RABGGTB|1;RALB|1;RING1|1;RPS7|1;CCL22|1;SDC2|1;SET|1;SMARCB1|1;SNRPB|1;SPI1|1;ADAM17|1;TADA2A|1;TGFA|1;THY1|1;EZR|1;XRCC5|1;BAG6|1;TRRAP|1;ULK1|1;FKBP6|1;CASK|1;IRS2|1;RIPK1|1;CCNK|1;HERC2|1;S1PR2|1;MED20|1;RAPGEF2|1;SETD1A|1;RASSF2|1;TELO2|1;ABI2|1;FLOT1|1;STUB1|1;TNIP1|1;ANAPC10|1;TGOLN2|1;CCNI|1;RNF139|1;RAB3GAP1|1;LIMCH1|1;KLHDC10|1;OBSL1|1;UFL1|1;ZDHHC17|1;CDK20|1;NIPBL|1;ANAPC13|1;BRMS1|1;RCHY1|1;PHF19|1;FBXL4|1;HSPB8|1;AKAP8L|1;USP21|1;UBE2S|1;SENP1|1;NRBP1|1;SIRT7|1;TRIM33|1;PPIL3|1;ERRFI1|1;GNL3L|1;WDYHV1|1;FANCL|1;TRIM68|1;RHOT1|1;YOD1|1;TMEM165|1;PBK|1;WDR45B|1;RAD18|1;POGLUT1|1;BIRC6|1;PPP4R4|1;RAB40C|1;GORASP1|1;MEAF6|1;RMND5A|1;DDRGK1|1;GID4|1;FBXO31|1;STK40|1;MAGT1|1;KIRREL2|1;DCUN1D5|1;DOCK7|1;MYLK3|1;ACTR8|1;PTPMT1|1;FBXO27|1;ASB6|1;KCTD11|1;TICAM1|1;UBXN2A|1;ASXL1|1;C9orf72|1;LAMA1|1;DUSP28|1	102.8871251	1.380153249	6.85E-06	0.036176649
GO:0036211	protein modification process	3699	142	ADCYAP1|1;PARP1|1;APLNR|1;AKT1|1;APLP2|1;ARNT|1;ZFP36L1|1;C3|1;CAD|1;CBLB|1;CDK6|1;CDKN1B|1;CFTR|1;CHD3|1;CHUK|1;RCAN1|1;PHC1|1;EIF2S1|1;FGF10|1;FUT8|1;GSK3B|1;HIST1H1C|1;HIST1H2BD|1;HMBS|1;HSP90AB1|1;ILF3|1;KRT10|1;LCK|1;LNPEP|1;MANBA|1;MDM2|1;MEF2C|1;MMP9|1;MTCP1|1;MYOC|1;P4HA1|1;PPEF1|1;PPM1B|1;PPP4C|1;PRKCQ|1;MAPK8|1;PROX1|1;PSMD11|1;RABGGTB|1;RALB|1;RING1|1;RPS7|1;CCL22|1;SDC2|1;SET|1;SMARCB1|1;SNRPB|1;SPI1|1;ADAM17|1;TADA2A|1;TGFA|1;THY1|1;EZR|1;XRCC5|1;BAG6|1;TRRAP|1;ULK1|1;FKBP6|1;CASK|1;IRS2|1;RIPK1|1;CCNK|1;HERC2|1;S1PR2|1;MED20|1;RAPGEF2|1;SETD1A|1;RASSF2|1;TELO2|1;ABI2|1;FLOT1|1;STUB1|1;TNIP1|1;ANAPC10|1;TGOLN2|1;CCNI|1;RNF139|1;RAB3GAP1|1;LIMCH1|1;KLHDC10|1;OBSL1|1;UFL1|1;ZDHHC17|1;CDK20|1;NIPBL|1;ANAPC13|1;BRMS1|1;RCHY1|1;PHF19|1;FBXL4|1;HSPB8|1;AKAP8L|1;USP21|1;UBE2S|1;SENP1|1;NRBP1|1;SIRT7|1;TRIM33|1;PPIL3|1;ERRFI1|1;GNL3L|1;WDYHV1|1;FANCL|1;TRIM68|1;RHOT1|1;YOD1|1;TMEM165|1;PBK|1;WDR45B|1;RAD18|1;POGLUT1|1;BIRC6|1;PPP4R4|1;RAB40C|1;GORASP1|1;MEAF6|1;RMND5A|1;DDRGK1|1;GID4|1;FBXO31|1;STK40|1;MAGT1|1;KIRREL2|1;DCUN1D5|1;DOCK7|1;MYLK3|1;ACTR8|1;PTPMT1|1;FBXO27|1;ASB6|1;KCTD11|1;TICAM1|1;UBXN2A|1;ASXL1|1;C9orf72|1;LAMA1|1;DUSP28|1	102.8871251	1.380153249	6.85E-06	0.036176649
GO:0019538	protein metabolic process	5124	184	ADCYAP1|1;PARP1|1;APLNR|1;AKT1|1;BIN1|1;AIRE|1;APLP2|1;AQP1|1;ARNT|1;ATOX1|1;ZFP36L1|1;C1QBP|1;C3|1;CAD|1;CASP1|1;CBLB|1;CDK6|1;CDKN1B|1;CFTR|1;CHD3|1;CHUK|1;CLTA|1;CRP|1;CTSK|1;CTSV|1;DDIT3|1;RCAN1|1;PHC1|1;EIF2S1|1;FGF10|1;FUT8|1;GSK3B|1;GZMM|1;HIST1H1C|1;HIST1H2BD|1;CFH|1;HMBS|1;HSP90AB1|1;ILF3|1;KRT10|1;LCK|1;LCN1|1;LNPEP|1;MANBA|1;MDM2|1;MEF2C|1;MMP9|1;MTCP1|1;MYOC|1;NELL1|1;P4HA1|1;SERPINI2|1;PPA1|1;PPEF1|1;PPM1B|1;PPP4C|1;PRKCQ|1;MAPK8|1;PROX1|1;PSMD11|1;RABGGTB|1;RALB|1;RING1|1;RPL3|1;RPL35A|1;RPS7|1;CCL22|1;SDC2|1;SET|1;SMARCB1|1;SNRPB|1;SPI1|1;ADAM17|1;TADA2A|1;TGFA|1;THY1|1;TPR|1;EZR|1;XRCC5|1;BAG6|1;TRRAP|1;ULK1|1;FKBP6|1;CASK|1;IRS2|1;EIF3I|1;RIPK1|1;FADD|1;CCNK|1;EIF2B4|1;HERC2|1;S1PR2|1;CHST3|1;MED20|1;BAG3|1;RAPGEF2|1;SETD1A|1;RASSF2|1;TELO2|1;ABI2|1;FLOT1|1;STUB1|1;TNIP1|1;ANAPC10|1;TGOLN2|1;GIPC1|1;CCNI|1;MRPL3|1;RNF139|1;RAB3GAP1|1;LIMCH1|1;KLHDC10|1;ERP44|1;LARP4B|1;OBSL1|1;UFL1|1;NCSTN|1;ZDHHC17|1;HARS2|1;SF3B3|1;CDK20|1;NIPBL|1;ANAPC13|1;BRMS1|1;RCHY1|1;ANAPC15|1;PHF19|1;FBXL4|1;HSPB8|1;AKAP8L|1;USP21|1;UBE2S|1;MRPS28|1;SENP1|1;NRBP1|1;SEPSECS|1;APH1A|1;EIF3L|1;SIRT7|1;TRIM33|1;PPIL3|1;ERRFI1|1;DHX29|1;GNL3L|1;WDYHV1|1;FANCL|1;TRIM68|1;SRBD1|1;RHOT1|1;YOD1|1;NHP2|1;TMEM165|1;PBK|1;WDR45B|1;RAD18|1;POGLUT1|1;BIRC6|1;PPP4R4|1;RAB40C|1;GORASP1|1;MEAF6|1;RMND5A|1;MRPS6|1;DDRGK1|1;GID4|1;FBXO31|1;RBM4B|1;STK40|1;MAGT1|1;KIRREL2|1;DCUN1D5|1;DOCK7|1;MYLK3|1;ACTR8|1;PTPMT1|1;FBXO27|1;ASB6|1;KCTD11|1;TICAM1|1;UBXN2A|1;ASXL1|1;C9orf72|1;LAMA1|1;DUSP28|1	142.5232844	1.291017119	9.13E-06	0.036176649
GO:0044260	cellular macromolecule metabolic process	7260	243	ADCYAP1|1;PARP1|1;APLNR|1;AKT1|1;BIN1|1;AIRE|1;APLP2|1;AQP1|1;ARNT|1;ZFP36L1|1;C1QBP|1;C3|1;CAD|1;CASP1|1;CBLB|1;TNFSF8|1;CDK6|1;CDKN1B|1;CFTR|1;CHD3|1;CHUK|1;CLTA|1;COL4A2|1;CTSK|1;CTSV|1;DDIT3|1;RCAN1|1;DUT|1;PHC1|1;EIF2S1|1;ELAVL2|1;EPS15|1;ERCC4|1;FGF10|1;FUT8|1;GSK3B|1;HIST1H1C|1;HIST1H2BD|1;HIST1H1A|1;HMBS|1;HNF4G|1;HSP90AB1|1;IL7R|1;ILF3|1;KRT10|1;LCK|1;LCN1|1;LNPEP|1;MANBA|1;MDM2|1;MEF2C|1;MMP9|1;MTCP1|1;MYOC|1;NELL1|1;NFIX|1;NT5E|1;NVL|1;P4HA1|1;PARN|1;PCBP1|1;PGR|1;SERPINI2|1;PPA1|1;PPEF1|1;PPM1B|1;PPP4C|1;PRKCQ|1;MAPK8|1;PROX1|1;PSMD11|1;RABGGTB|1;RALB|1;RARB|1;RING1|1;BRD2|1;RORA|1;RPL3|1;RPL35A|1;RPS7|1;RXRB|1;CCL22|1;SDC2|1;SET|1;SMARCB1|1;SNRPB|1;SOX3|1;SP2|1;SP4|1;SPI1|1;ADAM17|1;TADA2A|1;TCF20|1;TGFA|1;THY1|1;NR2E1|1;TMSB4X|1;TPR|1;TRAF5|1;UBTF|1;EZR|1;XRCC5|1;ZNF227|1;BAG6|1;TRRAP|1;ULK1|1;FKBP6|1;CASK|1;IRS2|1;EIF3I|1;RIPK1|1;FADD|1;CCNK|1;EIF2B4|1;HERC2|1;PDLIM1|1;S1PR2|1;CHST3|1;MED20|1;BAG3|1;RAPGEF2|1;SETD1A|1;RASSF2|1;TELO2|1;ABI2|1;FLOT1|1;STUB1|1;TNIP1|1;ANAPC10|1;NCOA2|1;TGOLN2|1;GIPC1|1;CCNI|1;DIDO1|1;MRPL3|1;RNF139|1;RAB3GAP1|1;LIMCH1|1;KLHDC10|1;ERP44|1;POGZ|1;LARP4B|1;OBSL1|1;UFL1|1;NCSTN|1;ZDHHC17|1;HARS2|1;PHF3|1;CDK20|1;LEMD3|1;ORC3|1;ZMYND8|1;PRPF6|1;DNAJB5|1;NIPBL|1;ANAPC13|1;BRMS1|1;RCHY1|1;ANAPC15|1;AHCTF1|1;PHF19|1;FBXL4|1;HSPB8|1;AKAP8L|1;USP21|1;UBE2S|1;MRPS28|1;SENP1|1;DNMT3L|1;NRBP1|1;BOLA1|1;ZNF691|1;SEPSECS|1;APH1A|1;EIF3L|1;SIRT7|1;TRIM33|1;PPIL3|1;ERRFI1|1;WNT4|1;DHX29|1;GNL3L|1;CC2D1A|1;QRICH1|1;WDYHV1|1;FANCL|1;TRIM68|1;SRBD1|1;THAP1|1;RHOT1|1;YOD1|1;CHD7|1;NHP2|1;TMEM165|1;PBK|1;WDR45B|1;RAD18|1;POGLUT1|1;PCBP4|1;THAP11|1;BIRC6|1;GATAD2B|1;CALCOCO1|1;SFMBT2|1;PPP4R4|1;GATAD1|1;RAB40C|1;NIF3L1|1;GORASP1|1;MEAF6|1;CRTC3|1;RMND5A|1;MRPS6|1;DDRGK1|1;GID4|1;FBXO31|1;THAP7|1;RBM4B|1;STK40|1;FAM172A|1;MAGT1|1;KIRREL2|1;DCUN1D5|1;NIFK|1;CBX2|1;EAF1|1;DOCK7|1;MYLK3|1;ACTR8|1;PTPMT1|1;KLHDC3|1;FBXO27|1;ASB6|1;KCTD11|1;DSG4|1;TICAM1|1;NFXL1|1;UBXN2A|1;ASXL1|1;C9orf72|1;LAMA1|1;DUSP28|1;POLN|1	201.9358011	1.203352742	1.63E-05	0.051737389
GO:0043412	macromolecule modification	3875	145	ADCYAP1|1;PARP1|1;APLNR|1;AKT1|1;APLP2|1;ARNT|1;ZFP36L1|1;C3|1;CAD|1;CBLB|1;CDK6|1;CDKN1B|1;CFTR|1;CHD3|1;CHUK|1;RCAN1|1;PHC1|1;EIF2S1|1;FGF10|1;FUT8|1;GSK3B|1;HIST1H1C|1;HIST1H2BD|1;HMBS|1;HSP90AB1|1;ILF3|1;KRT10|1;LCK|1;LNPEP|1;MANBA|1;MDM2|1;MEF2C|1;MMP9|1;MTCP1|1;MYOC|1;P4HA1|1;PARN|1;PPEF1|1;PPM1B|1;PPP4C|1;PRKCQ|1;MAPK8|1;PROX1|1;PSMD11|1;RABGGTB|1;RALB|1;RING1|1;RPS7|1;CCL22|1;SDC2|1;SET|1;SMARCB1|1;SNRPB|1;SPI1|1;ADAM17|1;TADA2A|1;TGFA|1;THY1|1;EZR|1;XRCC5|1;BAG6|1;TRRAP|1;ULK1|1;FKBP6|1;CASK|1;IRS2|1;RIPK1|1;CCNK|1;HERC2|1;S1PR2|1;MED20|1;RAPGEF2|1;SETD1A|1;RASSF2|1;TELO2|1;ABI2|1;FLOT1|1;STUB1|1;TNIP1|1;ANAPC10|1;TGOLN2|1;CCNI|1;RNF139|1;RAB3GAP1|1;LIMCH1|1;KLHDC10|1;OBSL1|1;UFL1|1;ZDHHC17|1;CDK20|1;NIPBL|1;ANAPC13|1;BRMS1|1;RCHY1|1;PHF19|1;FBXL4|1;HSPB8|1;AKAP8L|1;USP21|1;UBE2S|1;SENP1|1;DNMT3L|1;NRBP1|1;SIRT7|1;TRIM33|1;PPIL3|1;ERRFI1|1;GNL3L|1;WDYHV1|1;FANCL|1;TRIM68|1;RHOT1|1;YOD1|1;NHP2|1;TMEM165|1;PBK|1;WDR45B|1;RAD18|1;POGLUT1|1;BIRC6|1;PPP4R4|1;RAB40C|1;GORASP1|1;MEAF6|1;RMND5A|1;DDRGK1|1;GID4|1;FBXO31|1;STK40|1;MAGT1|1;KIRREL2|1;DCUN1D5|1;DOCK7|1;MYLK3|1;ACTR8|1;PTPMT1|1;FBXO27|1;ASB6|1;KCTD11|1;TICAM1|1;UBXN2A|1;ASXL1|1;C9orf72|1;LAMA1|1;DUSP28|1	107.7825385	1.345301401	2.15E-05	0.05692238
GO:0070647	protein modification by small protein conjugation or removal	977	49	AKT1|1;ARNT|1;CBLB|1;CFTR|1;PHC1|1;HIST1H2BD|1;HSP90AB1|1;LNPEP|1;MDM2|1;PSMD11|1;RING1|1;RPS7|1;TRRAP|1;RIPK1|1;HERC2|1;MED20|1;STUB1|1;TNIP1|1;ANAPC10|1;RNF139|1;UFL1|1;ANAPC13|1;RCHY1|1;FBXL4|1;USP21|1;UBE2S|1;SENP1|1;TRIM33|1;GNL3L|1;FANCL|1;TRIM68|1;RHOT1|1;YOD1|1;RAD18|1;BIRC6|1;RAB40C|1;GORASP1|1;RMND5A|1;DDRGK1|1;GID4|1;FBXO31|1;DCUN1D5|1;ACTR8|1;FBXO27|1;ASB6|1;KCTD11|1;TICAM1|1;UBXN2A|1;ASXL1|1	27.17510712	1.803120768	4.12E-05	0.083269213
GO:2000058	regulation of ubiquitin-dependent protein catabolic process	143	14	AKT1|1;GSK3B|1;HSP90AB1|1;MDM2|1;RPS7|1;BAG6|1;STUB1|1;GIPC1|1;RNF139|1;UFL1|1;RCHY1|1;SENP1|1;PBK|1;DDRGK1|1	3.977523355	3.519778202	4.51E-05	0.083269213
GO:0043170	macromolecule metabolic process	8163	265	ACTN1|1;ADCYAP1|1;PARP1|1;APLNR|1;AKT1|1;BIN1|1;AIRE|1;APLP2|1;AQP1|1;ARNT|1;ATOX1|1;ZFP36L1|1;C1QBP|1;C3|1;CAD|1;CASP1|1;CBLB|1;TNFSF8|1;CDK6|1;CDKN1B|1;CFTR|1;CHD3|1;CHUK|1;CLTA|1;COL4A2|1;CRIP1|1;CRP|1;CTSK|1;CTSV|1;DDIT3|1;RCAN1|1;DUT|1;PHC1|1;EIF2S1|1;ELAVL2|1;EPS15|1;ERCC4|1;FGF10|1;FUT8|1;GSK3B|1;GZMM|1;HIST1H1C|1;HIST1H2BD|1;HIST1H1A|1;CFH|1;HMBS|1;HNF4G|1;HSP90AB1|1;IL7R|1;ILF3|1;KRT10|1;LCK|1;LCN1|1;LNPEP|1;MANBA|1;MDM2|1;MEF2C|1;MMP9|1;MSR1|1;MTCP1|1;MYOC|1;NELL1|1;NFIX|1;NT5E|1;NVL|1;P4HA1|1;PARN|1;PCBP1|1;PGR|1;SERPINI2|1;PPA1|1;PPEF1|1;PPM1B|1;PPP4C|1;PRELP|1;PRKCQ|1;MAPK8|1;PROX1|1;PSMD11|1;RABGGTB|1;RALB|1;RARB|1;RING1|1;BRD2|1;RORA|1;RPL3|1;RPL35A|1;RPS7|1;RXRB|1;CCL22|1;SDC2|1;SET|1;SRSF1|1;SMARCB1|1;SNRPB|1;SOX3|1;SP2|1;SP4|1;SPI1|1;ADAM17|1;TADA2A|1;TCF20|1;TGFA|1;THY1|1;NR2E1|1;TMSB4X|1;TPR|1;TRAF5|1;UBTF|1;EZR|1;XRCC5|1;ZNF227|1;BAG6|1;ZRSR2|1;TRRAP|1;ULK1|1;FKBP6|1;CASK|1;NOP14|1;IRS2|1;EIF3I|1;RIPK1|1;FADD|1;CCNK|1;EIF2B4|1;HERC2|1;PDLIM1|1;S1PR2|1;CHST3|1;MED20|1;BAG3|1;RAPGEF2|1;SETD1A|1;RASSF2|1;TELO2|1;ABI2|1;MPHOSPH10|1;FLOT1|1;STUB1|1;TNIP1|1;ANAPC10|1;NCOA2|1;TGOLN2|1;GIPC1|1;CCNI|1;DIDO1|1;MRPL3|1;RNF139|1;PUF60|1;RAB3GAP1|1;LIMCH1|1;KLHDC10|1;ERP44|1;POGZ|1;LARP4B|1;RRS1|1;OBSL1|1;UFL1|1;NCSTN|1;ZDHHC17|1;HARS2|1;SF3B3|1;PHF3|1;NUP188|1;CDK20|1;LEMD3|1;ORC3|1;ZMYND8|1;PRPF6|1;DNAJB5|1;NIPBL|1;ANAPC13|1;BRMS1|1;RCHY1|1;ANAPC15|1;AHCTF1|1;PHF19|1;FBXL4|1;HSPB8|1;AKAP8L|1;USP21|1;UBE2S|1;MRPS28|1;SENP1|1;DNMT3L|1;NRBP1|1;BOLA1|1;ZNF691|1;SEPSECS|1;APH1A|1;EIF3L|1;SIRT7|1;LARP7|1;TRIM33|1;NUP54|1;PPIL3|1;ERRFI1|1;WNT4|1;DHX29|1;GNL3L|1;CC2D1A|1;QRICH1|1;WDYHV1|1;FANCL|1;TRIM68|1;SRBD1|1;THAP1|1;RHOT1|1;YOD1|1;CHD7|1;NHP2|1;TMEM165|1;PBK|1;WDR45B|1;RAD18|1;POGLUT1|1;UTP3|1;PCBP4|1;THAP11|1;BIRC6|1;GATAD2B|1;CALCOCO1|1;SFMBT2|1;PPP4R4|1;GATAD1|1;RAB40C|1;NIF3L1|1;GORASP1|1;MEAF6|1;CRTC3|1;RMND5A|1;MRPS6|1;DDRGK1|1;GID4|1;FBXO31|1;THAP7|1;RBM4B|1;STK40|1;FAM172A|1;MAGT1|1;KIRREL2|1;DCUN1D5|1;NIFK|1;RNASE7|1;CBX2|1;EAF1|1;DOCK7|1;MYLK3|1;ACTR8|1;AHNAK2|1;PTPMT1|1;KLHDC3|1;LSM12|1;FBXO27|1;ASB6|1;KCTD11|1;DSG4|1;TICAM1|1;NFXL1|1;UBXN2A|1;ASXL1|1;C9orf72|1;LAMA1|1;DUSP28|1;POLN|1	227.0526094	1.167130388	4.73E-05	0.083269213
GO:0050789	regulation of biological process	9514	299	ACADL|1;ACTN1|1;ADCYAP1|1;PARP1|1;APLNR|1;AKT1|1;ALAS1|1;BIN1|1;AIRE|1;APLP2|1;AQP1|1;ARNT|1;ATOX1|1;ZFP36L1|1;C1QBP|1;C3|1;CACNA1B|1;CACNB3|1;CASP1|1;CBLB|1;TNFSF8|1;CDK6|1;CDKN1B|1;CETN1|1;CFTR|1;CHD3|1;CHUK|1;CLCN2|1;CLTA|1;COL4A2|1;COL4A5|1;COL8A1|1;CRIP1|1;CRIP2|1;CRP|1;CTSK|1;CTSV|1;CYBA|1;BRINP1|1;DCC|1;DDIT3|1;DEFB1|1;RCAN1|1;DUT|1;PHC1|1;EIF2S1|1;ELAVL2|1;EPOR|1;EPS15|1;ERCC4|1;FGF10|1;FUT8|1;GABRD|1;GBP2|1;GCHFR|1;GSK3B|1;HIST1H1C|1;HIST1H1A|1;CFH|1;HLA-DRA|1;HNF4G|1;HSP90AB1|1;IL7R|1;IL15RA|1;ILF3|1;KCNA1|1;KCNA3|1;KCNA4|1;KCNJ4|1;KRT10|1;LCK|1;LCN1|1;LGALS3BP|1;LNPEP|1;MDM2|1;MEF2C|1;MMP9|1;MSR1|1;MTCP1|1;MYOC|1;NELL1|1;NFIX|1;NT5E|1;NVL|1;P2RX5|1;PAFAH1B2|1;PARN|1;PCBP1|1;PGR|1;SERPINI2|1;PI4KA|1;PPEF1|1;PPM1B|1;PPP4C|1;PRKCQ|1;MAPK8|1;PROX1|1;RABGGTB|1;RALB|1;RARB|1;RING1|1;BRD2|1;RORA|1;RPL3|1;RPL35A|1;RPS7|1;RXRB|1;SAT1|1;SCN2B|1;CCL22|1;CXCL5|1;SDC2|1;SET|1;SRSF1|1;SMARCB1|1;SOX3|1;SP2|1;SP4|1;SPI1|1;SURF4|1;ADAM17|1;TADA2A|1;TCF20|1;TFF1|1;TGFA|1;THY1|1;ICAM5|1;NR2E1|1;TMSB4X|1;TPR|1;TRAF5|1;UBTF|1;EZR|1;XRCC5|1;ZNF227|1;SLC30A2|1;BAG6|1;TRRAP|1;ULK1|1;FKBP6|1;KCNAB2|1;CASK|1;IRS2|1;VAMP4|1;DNAH11|1;RIPK1|1;FADD|1;CCNK|1;EIF2B4|1;MPZL1|1;DOK2|1;PDLIM1|1;VAPA|1;GPR50|1;S1PR2|1;MED20|1;BAG3|1;PDIA4|1;RAPGEF2|1;SETD1A|1;RASSF2|1;SFI1|1;FCHSD2|1;TELO2|1;ARPC4|1;KIF20A|1;ABI2|1;FARP1|1;MPHOSPH10|1;FLOT1|1;STAM2|1;STUB1|1;TNIP1|1;ANAPC10|1;SEC24B|1;NCOA2|1;POSTN|1;GIPC1|1;CD300C|1;CCNI|1;DIDO1|1;RNF139|1;RRAS2|1;NLGN4Y|1;RAB3GAP1|1;LIMCH1|1;KLHDC10|1;ERP44|1;POGZ|1;LRCH1|1;LARP4B|1;RRS1|1;OBSL1|1;UFL1|1;NCSTN|1;ZDHHC17|1;SF3B3|1;CDK20|1;LEMD3|1;ZMYND8|1;PRPF6|1;DNAJB5|1;TXN2|1;NIPBL|1;BRMS1|1;RCHY1|1;ANAPC15|1;AHCTF1|1;PHF19|1;HSPB8|1;AKAP8L|1;USP21|1;SIGLEC7|1;SIGLEC8|1;UBE2S|1;SENP1|1;DNMT3L|1;NRBP1|1;BOLA1|1;ZNF691|1;SEPSECS|1;APH1A|1;PLEKHO1|1;SIRT7|1;TRIM33|1;NUP54|1;ERRFI1|1;WNT4|1;NLGN3|1;KRT20|1;DHX29|1;GNL3L|1;LZTFL1|1;CC2D1A|1;QRICH1|1;FNBP1L|1;MKS1|1;GID8|1;FANCL|1;TRIM68|1;THAP1|1;RHOT1|1;YOD1|1;CHD7|1;NHP2|1;PBK|1;LTB4R2|1;RAD18|1;POGLUT1|1;PCBP4|1;THAP11|1;BIRC6|1;GATAD2B|1;CGN|1;WDFY1|1;CALCOCO1|1;SFMBT2|1;PPP4R4|1;GATAD1|1;RAB40C|1;NIF3L1|1;RINT1|1;GORASP1|1;MEAF6|1;CRTC3|1;ARV1|1;DDRGK1|1;FBXO31|1;PANK2|1;THAP7|1;ZBP1|1;VANGL1|1;CD99L2|1;RBM4B|1;KCNK16|1;STK40|1;FAM172A|1;KIRREL2|1;DCUN1D5|1;CBX2|1;EAF1|1;DOCK7|1;MYLK3|1;CADPS2|1;AHNAK2|1;PTPMT1|1;KLHDC3|1;SYT2|1;ASB6|1;KCTD11|1;DSG4|1;TICAM1|1;NFXL1|1;TMEM30B|1;UBXN2A|1;ASXL1|1;C9orf72|1;NPHP4|1;LAMA1|1	264.6304699	1.129877448	8.75E-05	0.134664077
