goId	description	size	overlap	interestGene	expect	enrichmentRatio	pValue	FDR
GO:0016071	mRNA metabolic process	732	44	HNRNPC|1;HNRNPD|1;HNRNPF|1;IK|1;HNRNPM|1;NONO|1;POLR2E|1;POLR2I|1;RPL6|1;RPL9|1;RPL11|1;RPL13|1;RPL18|1;RPL19|1;RPL27|1;RPL30|1;RPL28|1;RPS5|1;RPS11|1;RPS13|1;RPS24|1;RPS27A|1;SNRPB|1;SNRPB2|1;USP4|1;SRSF9|1;SART1|1;SART3|1;EIF4A3|1;PRMT5|1;CD2BP2|1;PRPF8|1;PPARGC1A|1;RNPS1|1;TARDBP|1;SF3B1|1;PRPF6|1;DAZAP1|1;GPKOW|1;C9orf78|1;CTNNBL1|1;XAB2|1;CNOT6|1;AGO4|1	14.65336798	3.002722654	5.07E-11	6.39E-07
GO:0006613	cotranslational protein targeting to membrane	98	16	RPL6|1;RPL9|1;RPL11|1;RPL13|1;RPL18|1;RPL19|1;RPL27|1;RPL30|1;RPL28|1;RPS5|1;RPS11|1;RPS13|1;RPS24|1;RPS27A|1;SRP14|1;SEC62|1	1.961789703	8.155818117	9.49E-11	6.39E-07
GO:0008380	RNA splicing	402	31	HNRNPC|1;HNRNPD|1;HNRNPF|1;IK|1;HNRNPM|1;NONO|1;PIK3R1|1;POLR2E|1;POLR2I|1;RPS13|1;SNRPB|1;SNRPB2|1;USP4|1;SRSF9|1;SART1|1;SART3|1;EIF4A3|1;PRMT5|1;CD2BP2|1;PRPF8|1;PPARGC1A|1;RNPS1|1;TARDBP|1;SF3B1|1;PRPF6|1;DAZAP1|1;GPKOW|1;RTCB|1;C9orf78|1;CTNNBL1|1;XAB2|1	8.047341434	3.852203893	1.21E-10	6.39E-07
GO:0045047	protein targeting to ER	106	16	RPL6|1;RPL9|1;RPL11|1;RPL13|1;RPL18|1;RPL19|1;RPL27|1;RPL30|1;RPL28|1;RPS5|1;RPS11|1;RPS13|1;RPS24|1;RPS27A|1;SRP14|1;SEC62|1	2.121935801	7.540284674	3.20E-10	1.27E-06
GO:0006614	SRP-dependent cotranslational protein targeting to membrane	94	15	RPL6|1;RPL9|1;RPL11|1;RPL13|1;RPL18|1;RPL19|1;RPL27|1;RPL30|1;RPL28|1;RPS5|1;RPS11|1;RPS13|1;RPS24|1;RPS27A|1;SRP14|1	1.881716654	7.971444569	5.18E-10	1.49E-06
GO:0072599	establishment of protein localization to endoplasmic reticulum	110	16	RPL6|1;RPL9|1;RPL11|1;RPL13|1;RPL18|1;RPL19|1;RPL27|1;RPL30|1;RPL28|1;RPS5|1;RPS11|1;RPS13|1;RPS24|1;RPS27A|1;SRP14|1;SEC62|1	2.20200885	7.266092504	5.63E-10	1.49E-06
GO:0006518	peptide metabolic process	744	42	ABCF1|1;RHOA|1;CARS|1;PLK3|1;DAPK3|1;EEF1A2|1;GSTM3|1;HNRNPD|1;MARS|1;NARS|1;PPP1CA|1;RPL6|1;RPL9|1;RPL11|1;RPL13|1;RPL18|1;RPL19|1;MRPL23|1;RPL27|1;RPL30|1;RPL28|1;MRPS12|1;RPS5|1;RPS11|1;RPS13|1;RPS24|1;RPS27A|1;SHMT2|1;THOP1|1;WARS|1;AIMP2|1;EIF3D|1;EIF3H|1;HAP1|1;EIF4A3|1;PARK7|1;MRPS28|1;MRPL27|1;CNDP2|1;BDH2|1;CNOT6|1;AGO4|1	14.89358713	2.820005659	1.01E-09	2.29E-06
GO:0070972	protein localization to endoplasmic reticulum	136	17	RPL6|1;RPL9|1;RPL11|1;RPL13|1;RPL18|1;RPL19|1;RPL27|1;RPL30|1;RPL28|1;RPS5|1;RPS11|1;RPS13|1;RPS24|1;RPS27A|1;SRP14|1;SEC62|1;OS9|1	2.722483669	6.244298246	1.80E-09	3.06E-06
GO:0000184	"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay"	119	16	RPL6|1;RPL9|1;RPL11|1;RPL13|1;RPL18|1;RPL19|1;RPL27|1;RPL30|1;RPL28|1;RPS5|1;RPS11|1;RPS13|1;RPS24|1;RPS27A|1;EIF4A3|1;RNPS1|1	2.382173211	6.716556096	1.85E-09	3.06E-06
GO:0043043	peptide biosynthetic process	614	37	ABCF1|1;RHOA|1;CARS|1;DAPK3|1;EEF1A2|1;HNRNPD|1;MARS|1;NARS|1;PPP1CA|1;RPL6|1;RPL9|1;RPL11|1;RPL13|1;RPL18|1;RPL19|1;MRPL23|1;RPL27|1;RPL30|1;RPL28|1;MRPS12|1;RPS5|1;RPS11|1;RPS13|1;RPS24|1;RPS27A|1;SHMT2|1;WARS|1;AIMP2|1;EIF3D|1;EIF3H|1;EIF4A3|1;MRPS28|1;MRPL27|1;CNDP2|1;BDH2|1;CNOT6|1;AGO4|1	12.29121304	3.010280587	1.94E-09	3.06E-06
GO:0071826	ribonucleoprotein complex subunit organization	236	22	RPL6|1;RPL11|1;RPS5|1;SNRPB|1;USP4|1;DYRK3|1;EIF3D|1;EIF3H|1;SRSF9|1;SART1|1;SART3|1;PRMT5|1;CD2BP2|1;PRPF8|1;RUVBL2|1;MDN1|1;SF3B1|1;PRPF6|1;PIH1D1|1;XAB2|1;CNOT6|1;AGO4|1	4.724309897	4.656764793	2.12E-09	3.06E-06
GO:0022618	ribonucleoprotein complex assembly	222	21	RPL6|1;RPL11|1;RPS5|1;SNRPB|1;USP4|1;EIF3D|1;EIF3H|1;SRSF9|1;SART1|1;SART3|1;PRMT5|1;CD2BP2|1;PRPF8|1;RUVBL2|1;MDN1|1;SF3B1|1;PRPF6|1;PIH1D1|1;XAB2|1;CNOT6|1;AGO4|1	4.444054225	4.725414889	3.84E-09	5.07E-06
GO:0000377	"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile"	318	25	HNRNPC|1;HNRNPD|1;HNRNPF|1;IK|1;HNRNPM|1;POLR2E|1;POLR2I|1;SNRPB|1;SNRPB2|1;USP4|1;SRSF9|1;SART1|1;SART3|1;EIF4A3|1;PRMT5|1;CD2BP2|1;PRPF8|1;RNPS1|1;SF3B1|1;PRPF6|1;DAZAP1|1;GPKOW|1;C9orf78|1;CTNNBL1|1;XAB2|1	6.365807403	3.927231601	5.66E-09	6.41E-06
GO:0000398	"mRNA splicing, via spliceosome"	318	25	HNRNPC|1;HNRNPD|1;HNRNPF|1;IK|1;HNRNPM|1;POLR2E|1;POLR2I|1;SNRPB|1;SNRPB2|1;USP4|1;SRSF9|1;SART1|1;SART3|1;EIF4A3|1;PRMT5|1;CD2BP2|1;PRPF8|1;RNPS1|1;SF3B1|1;PRPF6|1;DAZAP1|1;GPKOW|1;C9orf78|1;CTNNBL1|1;XAB2|1	6.365807403	3.927231601	5.66E-09	6.41E-06
GO:0022613	ribonucleoprotein complex biogenesis	420	29	FBL|1;RPL6|1;RPL11|1;RPL27|1;RPS5|1;RPS24|1;SNRPB|1;USP4|1;RRP1|1;EIF3D|1;EIF3H|1;SRSF9|1;SART1|1;SART3|1;EIF4A3|1;PRMT5|1;CD2BP2|1;PRPF8|1;RUVBL2|1;MDN1|1;SF3B1|1;PRPF6|1;NOC2L|1;NOP16|1;PIH1D1|1;XAB2|1;CNOT6|1;NOL12|1;AGO4|1	8.407670155	3.449231412	6.33E-09	6.69E-06
