goId	description	size	overlap	interestGene	expect	enrichmentRatio	pValue	FDR
GO:0019222	regulation of metabolic process	5854	110	ACTN1|1;AP2A1|1;ARF1|1;RHOA|1;ASPH|1;ATF3|1;BDNF|1;BLM|1;CAPNS1|1;CRK|1;CSNK1D|1;DNMT1|1;RCAN1|1;EEF1A2|1;G6PD|1;GJA1|1;GLA|1;GSK3A|1;HCK|1;HINT1|1;HNRNPD|1;HNRNPK|1;ILF2|1;INPP5B|1;JAK3|1;JUNB|1;LIF|1;MARS|1;MYO6|1;HNRNPM|1;RPL10A|1;PKD2|1;PPP1CA|1;PPP4C|1;MAP2K3|1;PSMC3|1;PSME1|1;PTGS2|1;PTPN6|1;PTPN14|1;RPL11|1;RPL19|1;RPS5|1;RPS14|1;RPS27A|1;SHMT2|1;SLC18A2|1;SMARCA4|1;SUPT5H|1;TAF10|1;NR2C2|1;YY1|1;ZFP36|1;EIF3D|1;SRSF9|1;SNX3|1;APLN|1;DNAJA3|1;PDLIM1|1;HGS|1;MED7|1;SART3|1;EIF4A3|1;ZNF263|1;NAMPT|1;TRIB1|1;CNPY2|1;PRMT5|1;CD2BP2|1;CRTAP|1;SPTLC1|1;KHDRBS1|1;AHCYL1|1;RNPS1|1;TMED2|1;KAT7|1;STRAP|1;SNF8|1;PARK7|1;CBX3|1;PPP6R1|1;KDM6B|1;USP22|1;CBX6|1;CABIN1|1;NUP62|1;BRMS1|1;ZZZ3|1;POLDIP2|1;FBXL5|1;AGO1|1;DAZAP1|1;HBP1|1;CD244|1;STK26|1;WRNIP1|1;NSD1|1;DEPTOR|1;DDRGK1|1;RBM42|1;JADE1|1;FAM83D|1;ZNF394|1;ZNF644|1;DOT1L|1;SPOCD1|1;CREBRF|1;SPRED1|1;AGO4|1;ZNF454|1	73.19041933	1.502928949	1.79E-08	1.21E-04
GO:0043170	macromolecule metabolic process	8163	137	ABCF1|1;ACTN1|1;AP2A1|1;ARF1|1;RHOA|1;ASPH|1;ATF3|1;BDNF|1;BLM|1;BMX|1;TMEM258|1;CAPNS1|1;COL4A2|1;CRK|1;CSNK1D|1;CTSB|1;DNMT1|1;RCAN1|1;EEF1A2|1;FBL|1;G6PD|1;GSK3A|1;HCK|1;HINT1|1;HNRNPD|1;HNRNPK|1;IK|1;ILF2|1;INPP5B|1;JAK3|1;JUNB|1;LIF|1;MARS|1;MYO6|1;HNRNPM|1;RPL10A|1;PKD2|1;PPP1CA|1;PPP4C|1;MAP2K3|1;PSMC3|1;PSME1|1;PTGS2|1;PTMS|1;PTPN6|1;PTPN14|1;PTPRM|1;RPL11|1;RPL19|1;RPS5|1;RPS14|1;RPS27A|1;SDF2|1;SHMT2|1;SMARCA4|1;SUPT5H|1;TAF10|1;NR2C2|1;YY1|1;ZFP36|1;GAN|1;LAGE3|1;HIST3H3|1;CDC42BPA|1;EIF3D|1;SRSF9|1;SNX3|1;BANF1|1;APLN|1;SART1|1;DNAJA3|1;PDLIM1|1;HGS|1;MED7|1;SART3|1;EIF4A3|1;SCRN1|1;ZNF263|1;NAMPT|1;TRIB1|1;SMNDC1|1;CNPY2|1;PRMT5|1;CD2BP2|1;CRTAP|1;KHDRBS1|1;FUT9|1;AHCYL1|1;RNPS1|1;TMED2|1;KAT7|1;DMC1|1;STRAP|1;POLG2|1;SNF8|1;PARK7|1;CBX3|1;RASA3|1;PPP6R1|1;SNRNP200|1;KDM6B|1;USP22|1;CBX6|1;CABIN1|1;NUP62|1;BRMS1|1;ZZZ3|1;FBXL5|1;FBXL4|1;FBXO25|1;AGO1|1;DAZAP1|1;HBP1|1;PPA2|1;CRBN|1;RTCB|1;STK26|1;NSFL1C|1;CTNNBL1|1;WRNIP1|1;USP29|1;NSD1|1;COPS7B|1;DEPTOR|1;DDRGK1|1;RBM42|1;CARS2|1;JADE1|1;FAM83D|1;ZNF394|1;ZNF644|1;DOT1L|1;SPOCD1|1;CREBRF|1;SPRED1|1;AGO4|1;ZNF454|1	102.0590012	1.342360776	2.79E-08	1.21E-04
GO:0090304	nucleic acid metabolic process	4544	92	ACTN1|1;RHOA|1;ATF3|1;BLM|1;COL4A2|1;CRK|1;DNMT1|1;RCAN1|1;FBL|1;HCK|1;HINT1|1;HNRNPD|1;HNRNPK|1;IK|1;ILF2|1;JUNB|1;LIF|1;MARS|1;MYO6|1;HNRNPM|1;RPL10A|1;PKD2|1;PPP4C|1;MAP2K3|1;PSMC3|1;PTMS|1;PTPN14|1;RPL11|1;RPL19|1;RPS5|1;RPS14|1;RPS27A|1;SMARCA4|1;SUPT5H|1;TAF10|1;NR2C2|1;YY1|1;ZFP36|1;LAGE3|1;HIST3H3|1;SRSF9|1;BANF1|1;APLN|1;SART1|1;DNAJA3|1;PDLIM1|1;MED7|1;SART3|1;EIF4A3|1;ZNF263|1;NAMPT|1;TRIB1|1;SMNDC1|1;PRMT5|1;CD2BP2|1;KHDRBS1|1;AHCYL1|1;RNPS1|1;KAT7|1;DMC1|1;STRAP|1;POLG2|1;SNF8|1;PARK7|1;CBX3|1;SNRNP200|1;KDM6B|1;USP22|1;CBX6|1;NUP62|1;BRMS1|1;ZZZ3|1;AGO1|1;DAZAP1|1;HBP1|1;PPA2|1;RTCB|1;CTNNBL1|1;WRNIP1|1;NSD1|1;COPS7B|1;DDRGK1|1;RBM42|1;CARS2|1;JADE1|1;ZNF394|1;ZNF644|1;DOT1L|1;SPOCD1|1;CREBRF|1;AGO4|1;ZNF454|1	56.81196881	1.619377077	3.02E-08	1.21E-04
GO:0016071	mRNA metabolic process	732	29	HNRNPD|1;HNRNPK|1;IK|1;HNRNPM|1;RPL10A|1;RPL11|1;RPL19|1;RPS5|1;RPS14|1;RPS27A|1;SUPT5H|1;ZFP36|1;SRSF9|1;SART1|1;SART3|1;EIF4A3|1;SMNDC1|1;PRMT5|1;CD2BP2|1;KHDRBS1|1;AHCYL1|1;RNPS1|1;STRAP|1;SNRNP200|1;AGO1|1;DAZAP1|1;CTNNBL1|1;RBM42|1;AGO4|1	9.151928075	3.168731197	3.06E-08	1.21E-04
GO:0016070	RNA metabolic process	4084	85	ACTN1|1;RHOA|1;ATF3|1;BLM|1;COL4A2|1;CRK|1;DNMT1|1;RCAN1|1;FBL|1;HCK|1;HINT1|1;HNRNPD|1;HNRNPK|1;IK|1;ILF2|1;JUNB|1;LIF|1;MARS|1;MYO6|1;HNRNPM|1;RPL10A|1;PKD2|1;MAP2K3|1;PSMC3|1;PTPN14|1;RPL11|1;RPL19|1;RPS5|1;RPS14|1;RPS27A|1;SMARCA4|1;SUPT5H|1;TAF10|1;NR2C2|1;YY1|1;ZFP36|1;LAGE3|1;SRSF9|1;APLN|1;SART1|1;DNAJA3|1;PDLIM1|1;MED7|1;SART3|1;EIF4A3|1;ZNF263|1;NAMPT|1;TRIB1|1;SMNDC1|1;PRMT5|1;CD2BP2|1;KHDRBS1|1;AHCYL1|1;RNPS1|1;KAT7|1;STRAP|1;SNF8|1;PARK7|1;CBX3|1;SNRNP200|1;KDM6B|1;USP22|1;CBX6|1;NUP62|1;BRMS1|1;ZZZ3|1;AGO1|1;DAZAP1|1;HBP1|1;PPA2|1;RTCB|1;CTNNBL1|1;WRNIP1|1;NSD1|1;DDRGK1|1;RBM42|1;CARS2|1;JADE1|1;ZNF394|1;ZNF644|1;DOT1L|1;SPOCD1|1;CREBRF|1;AGO4|1;ZNF454|1	51.06075718	1.6646835	4.84E-08	1.49E-04
GO:0031323	regulation of cellular metabolic process	5417	103	ACTN1|1;AP2A1|1;ARF1|1;RHOA|1;ASPH|1;ATF3|1;BDNF|1;BLM|1;CAPNS1|1;CRK|1;CSNK1D|1;DNMT1|1;RCAN1|1;EEF1A2|1;G6PD|1;GLA|1;GSK3A|1;HCK|1;HINT1|1;HNRNPD|1;HNRNPK|1;ILF2|1;JAK3|1;JUNB|1;LIF|1;MARS|1;MYO6|1;HNRNPM|1;PKD2|1;PPP1CA|1;PPP4C|1;MAP2K3|1;PSMC3|1;PSME1|1;PTGS2|1;PTPN6|1;PTPN14|1;RPL11|1;RPS14|1;RPS27A|1;SHMT2|1;SLC18A2|1;SMARCA4|1;SUPT5H|1;TAF10|1;NR2C2|1;YY1|1;ZFP36|1;EIF3D|1;SRSF9|1;APLN|1;DNAJA3|1;PDLIM1|1;HGS|1;MED7|1;SART3|1;EIF4A3|1;ZNF263|1;NAMPT|1;TRIB1|1;CNPY2|1;PRMT5|1;CD2BP2|1;CRTAP|1;SPTLC1|1;KHDRBS1|1;AHCYL1|1;RNPS1|1;KAT7|1;STRAP|1;SNF8|1;PARK7|1;CBX3|1;PPP6R1|1;KDM6B|1;USP22|1;CBX6|1;CABIN1|1;NUP62|1;BRMS1|1;ZZZ3|1;POLDIP2|1;FBXL5|1;AGO1|1;DAZAP1|1;HBP1|1;CD244|1;STK26|1;WRNIP1|1;NSD1|1;DEPTOR|1;DDRGK1|1;RBM42|1;JADE1|1;FAM83D|1;ZNF394|1;ZNF644|1;DOT1L|1;SPOCD1|1;CREBRF|1;SPRED1|1;AGO4|1;ZNF454|1	67.72676828	1.520816697	5.62E-08	1.49E-04
GO:0000377	"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile"	318	18	HNRNPD|1;HNRNPK|1;IK|1;HNRNPM|1;SRSF9|1;SART1|1;SART3|1;EIF4A3|1;SMNDC1|1;PRMT5|1;CD2BP2|1;KHDRBS1|1;RNPS1|1;STRAP|1;SNRNP200|1;DAZAP1|1;CTNNBL1|1;RBM42|1	3.975837606	4.527347891	9.67E-08	1.92E-04
GO:0000398	"mRNA splicing, via spliceosome"	318	18	HNRNPD|1;HNRNPK|1;IK|1;HNRNPM|1;SRSF9|1;SART1|1;SART3|1;EIF4A3|1;SMNDC1|1;PRMT5|1;CD2BP2|1;KHDRBS1|1;RNPS1|1;STRAP|1;SNRNP200|1;DAZAP1|1;CTNNBL1|1;RBM42|1	3.975837606	4.527347891	9.67E-08	1.92E-04
GO:0000375	"RNA splicing, via transesterification reactions"	321	18	HNRNPD|1;HNRNPK|1;IK|1;HNRNPM|1;SRSF9|1;SART1|1;SART3|1;EIF4A3|1;SMNDC1|1;PRMT5|1;CD2BP2|1;KHDRBS1|1;RNPS1|1;STRAP|1;SNRNP200|1;DAZAP1|1;CTNNBL1|1;RBM42|1	4.013345508	4.485036228	1.11E-07	1.96E-04
GO:0010467	gene expression	4770	93	ABCF1|1;RHOA|1;ASPH|1;ATF3|1;BLM|1;COL4A2|1;CRK|1;CSNK1D|1;DNMT1|1;RCAN1|1;EEF1A2|1;FBL|1;GSK3A|1;HCK|1;HINT1|1;HNRNPD|1;HNRNPK|1;IK|1;ILF2|1;INPP5B|1;JUNB|1;LIF|1;MARS|1;MYO6|1;HNRNPM|1;RPL10A|1;PKD2|1;PPP1CA|1;MAP2K3|1;PSMC3|1;RPL11|1;RPL19|1;RPS5|1;RPS14|1;RPS27A|1;SHMT2|1;SMARCA4|1;SUPT5H|1;TAF10|1;NR2C2|1;YY1|1;ZFP36|1;LAGE3|1;EIF3D|1;SRSF9|1;APLN|1;SART1|1;DNAJA3|1;PDLIM1|1;HGS|1;MED7|1;SART3|1;EIF4A3|1;ZNF263|1;NAMPT|1;TRIB1|1;SMNDC1|1;CNPY2|1;PRMT5|1;CD2BP2|1;KHDRBS1|1;AHCYL1|1;RNPS1|1;TMED2|1;KAT7|1;STRAP|1;SNF8|1;PARK7|1;CBX3|1;SNRNP200|1;KDM6B|1;USP22|1;CBX6|1;NUP62|1;BRMS1|1;ZZZ3|1;AGO1|1;DAZAP1|1;HBP1|1;PPA2|1;RTCB|1;CTNNBL1|1;NSD1|1;DDRGK1|1;RBM42|1;CARS2|1;ZNF394|1;ZNF644|1;DOT1L|1;SPOCD1|1;CREBRF|1;AGO4|1;ZNF454|1	59.63756409	1.559419829	1.71E-07	2.72E-04
