goId	description	size	overlap	interestGene	expect	enrichmentRatio	pValue	FDR
GO:0008380	RNA splicing	402	51	HNRNPC|1;HNRNPD|1;HNRNPU|1;HSPA8|1;IK|1;HNRNPM|1;NONO|1;PCBP2|1;RPS13|1;SRSF5|1;SNRPB2|1;SUPT6H|1;TIA1|1;CDK13|1;SRSF9|1;BUD31|1;SART1|1;SRSF11|1;ZRANB2|1;RBM39|1;PRDX6|1;SART3|1;EIF4A3|1;RBM5|1;SMNDC1|1;PRMT5|1;CD2BP2|1;DDX17|1;PRPF8|1;IVNS1ABP|1;KHDRBS1|1;TXNL4A|1;RNPS1|1;STRAP|1;DDX42|1;SCAF8|1;SNRNP200|1;TARDBP|1;SF3B1|1;SRRM2|1;LSM4|1;DAZAP1|1;ZNF638|1;RTCB|1;LUC7L3|1;GEMIN8|1;MAGOHB|1;RBM25|1;CPSF7|1;YTHDC1|1;ZMAT2|1	16.06644658	3.174317341	1.98E-13	3.13E-09
GO:0016071	mRNA metabolic process	732	69	ERCC2|1;HNRNPC|1;HNRNPD|1;HNRNPU|1;HSPA8|1;IK|1;HNRNPM|1;NONO|1;PCBP2|1;EXOSC10|1;PRKCD|1;RPL6|1;RPL9|1;RPL19|1;RPL30|1;RPS5|1;RPS13|1;SRSF5|1;SNRPB2|1;SUPT6H|1;TIA1|1;UBA52|1;NUP214|1;CDK13|1;SRSF9|1;BUD31|1;SART1|1;SRSF11|1;ZRANB2|1;FXR2|1;RBM39|1;PRDX6|1;SART3|1;EIF4A3|1;RBM5|1;SMNDC1|1;PRMT5|1;CD2BP2|1;DDX17|1;PRPF8|1;KHDRBS1|1;AHCYL1|1;TXNL4A|1;RNPS1|1;STRAP|1;RPL35|1;DDX42|1;SCAF8|1;SNRNP200|1;TARDBP|1;SF3B1|1;SRRM2|1;LSM4|1;DAZAP1|1;TNRC6A|1;MRTO4|1;LUC7L3|1;XRN1|1;EXOSC4|1;GEMIN8|1;MAGOHB|1;TNRC6C|1;RBM25|1;CPSF7|1;YTHDC1|1;LSM11|1;ZMAT2|1;AGO4|1;PAN3|1	29.25532064	2.358545334	1.98E-11	1.15E-07
GO:0000377	"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile"	318	41	HNRNPC|1;HNRNPD|1;HNRNPU|1;HSPA8|1;IK|1;HNRNPM|1;PCBP2|1;SRSF5|1;SNRPB2|1;TIA1|1;CDK13|1;SRSF9|1;BUD31|1;SART1|1;SRSF11|1;PRDX6|1;SART3|1;EIF4A3|1;RBM5|1;SMNDC1|1;PRMT5|1;CD2BP2|1;DDX17|1;PRPF8|1;KHDRBS1|1;TXNL4A|1;RNPS1|1;STRAP|1;DDX42|1;SNRNP200|1;SF3B1|1;SRRM2|1;LSM4|1;DAZAP1|1;LUC7L3|1;GEMIN8|1;MAGOHB|1;RBM25|1;CPSF7|1;YTHDC1|1;ZMAT2|1	12.70927864	3.225989544	3.03E-11	1.15E-07
GO:0000398	"mRNA splicing, via spliceosome"	318	41	HNRNPC|1;HNRNPD|1;HNRNPU|1;HSPA8|1;IK|1;HNRNPM|1;PCBP2|1;SRSF5|1;SNRPB2|1;TIA1|1;CDK13|1;SRSF9|1;BUD31|1;SART1|1;SRSF11|1;PRDX6|1;SART3|1;EIF4A3|1;RBM5|1;SMNDC1|1;PRMT5|1;CD2BP2|1;DDX17|1;PRPF8|1;KHDRBS1|1;TXNL4A|1;RNPS1|1;STRAP|1;DDX42|1;SNRNP200|1;SF3B1|1;SRRM2|1;LSM4|1;DAZAP1|1;LUC7L3|1;GEMIN8|1;MAGOHB|1;RBM25|1;CPSF7|1;YTHDC1|1;ZMAT2|1	12.70927864	3.225989544	3.03E-11	1.15E-07
GO:0000375	"RNA splicing, via transesterification reactions"	321	41	HNRNPC|1;HNRNPD|1;HNRNPU|1;HSPA8|1;IK|1;HNRNPM|1;PCBP2|1;SRSF5|1;SNRPB2|1;TIA1|1;CDK13|1;SRSF9|1;BUD31|1;SART1|1;SRSF11|1;PRDX6|1;SART3|1;EIF4A3|1;RBM5|1;SMNDC1|1;PRMT5|1;CD2BP2|1;DDX17|1;PRPF8|1;KHDRBS1|1;TXNL4A|1;RNPS1|1;STRAP|1;DDX42|1;SNRNP200|1;SF3B1|1;SRRM2|1;LSM4|1;DAZAP1|1;LUC7L3|1;GEMIN8|1;MAGOHB|1;RBM25|1;CPSF7|1;YTHDC1|1;ZMAT2|1	12.8291775	3.195840109	4.09E-11	1.15E-07
GO:0022613	ribonucleoprotein complex biogenesis	420	48	DDX3X|1;EIF2D|1;NOP2|1;EXOSC10|1;RAN|1;RPL6|1;RPS5|1;SRSF5|1;TSC1|1;RUVBL1|1;EIF3D|1;EIF3F|1;EIF3I|1;SRSF9|1;SART1|1;SART3|1;EIF4A3|1;RBM5|1;NPM3|1;PRMT5|1;CD2BP2|1;C1D|1;DDX17|1;PRPF8|1;RUVBL2|1;TXNL4A|1;STRAP|1;RPL35|1;SNRNP200|1;SIRT1|1;SF3B1|1;LSM4|1;NOC2L|1;MRTO4|1;NOP16|1;LUC7L3|1;EXOSC4|1;DDX49|1;GEMIN8|1;PIH1D1|1;PPAN|1;UTP3|1;MRPS11|1;CPSF7|1;LAS1L|1;YTHDC1|1;AGO4|1;PAN3|1	16.78583971	2.859553101	4.62E-11	1.15E-07
GO:0006397	mRNA processing	465	51	ERCC2|1;HNRNPC|1;HNRNPD|1;HNRNPU|1;HSPA8|1;IK|1;HNRNPM|1;NONO|1;PCBP2|1;SRSF5|1;SNRPB2|1;SUPT6H|1;TIA1|1;CDK13|1;SRSF9|1;BUD31|1;SART1|1;SRSF11|1;ZRANB2|1;RBM39|1;PRDX6|1;SART3|1;EIF4A3|1;RBM5|1;SMNDC1|1;PRMT5|1;CD2BP2|1;DDX17|1;PRPF8|1;KHDRBS1|1;AHCYL1|1;TXNL4A|1;RNPS1|1;STRAP|1;DDX42|1;SCAF8|1;SNRNP200|1;TARDBP|1;SF3B1|1;SRRM2|1;LSM4|1;DAZAP1|1;LUC7L3|1;GEMIN8|1;MAGOHB|1;RBM25|1;CPSF7|1;YTHDC1|1;LSM11|1;ZMAT2|1;PAN3|1	18.58432254	2.74424854	5.08E-11	1.15E-07
GO:0022618	ribonucleoprotein complex assembly	222	33	DDX3X|1;EIF2D|1;NOP2|1;RPL6|1;RPS5|1;SRSF5|1;RUVBL1|1;EIF3D|1;EIF3F|1;EIF3I|1;SRSF9|1;SART1|1;SART3|1;RBM5|1;PRMT5|1;CD2BP2|1;PRPF8|1;RUVBL2|1;TXNL4A|1;STRAP|1;SNRNP200|1;SF3B1|1;LSM4|1;MRTO4|1;LUC7L3|1;GEMIN8|1;PIH1D1|1;PPAN|1;MRPS11|1;CPSF7|1;YTHDC1|1;AGO4|1;PAN3|1	8.872515277	3.719351161	6.21E-11	1.23E-07
GO:0006396	RNA processing	839	73	ERCC2|1;HNRNPC|1;HNRNPD|1;HNRNPU|1;HSPA8|1;IK|1;HNRNPM|1;NOP2|1;NONO|1;PCBP2|1;EXOSC10|1;RPS13|1;SRSF5|1;SNRPB2|1;SUPT6H|1;TIA1|1;LAGE3|1;CDK13|1;SRSF9|1;BUD31|1;SART1|1;SRSF11|1;ZRANB2|1;RBM39|1;PRDX6|1;SART3|1;EIF4A3|1;RBM5|1;SMNDC1|1;NPM3|1;PRMT5|1;CD2BP2|1;C1D|1;DDX17|1;PRPF8|1;IVNS1ABP|1;KHDRBS1|1;AHCYL1|1;TXNL4A|1;RNPS1|1;STRAP|1;RPL35|1;DDX42|1;SCAF8|1;SNRNP200|1;SIRT1|1;TARDBP|1;SF3B1|1;SRRM2|1;ELP5|1;LSM4|1;DAZAP1|1;ZNF638|1;MRTO4|1;RTCB|1;LUC7L3|1;DGCR8|1;EXOSC4|1;DDX49|1;GEMIN8|1;PIH1D1|1;MAGOHB|1;UTP3|1;RBM25|1;MRPS11|1;CPSF7|1;LAS1L|1;YTHDC1|1;LSM11|1;TRMT44|1;ZMAT2|1;AGO4|1;PAN3|1	33.53171314	2.177043555	2.04E-10	3.60E-07
GO:0071826	ribonucleoprotein complex subunit organization	236	33	DDX3X|1;EIF2D|1;NOP2|1;RPL6|1;RPS5|1;SRSF5|1;RUVBL1|1;EIF3D|1;EIF3F|1;EIF3I|1;SRSF9|1;SART1|1;SART3|1;RBM5|1;PRMT5|1;CD2BP2|1;PRPF8|1;RUVBL2|1;TXNL4A|1;STRAP|1;SNRNP200|1;SF3B1|1;LSM4|1;MRTO4|1;LUC7L3|1;GEMIN8|1;PIH1D1|1;PPAN|1;MRPS11|1;CPSF7|1;YTHDC1|1;AGO4|1;PAN3|1	9.432043268	3.498711686	3.23E-10	5.08E-07
