goId	description	size	overlap	interestGene	expect	enrichmentRatio	pValue	FDR
GO:1903321	negative regulation of protein modification by small protein conjugation or removal	75	7	AKT1|1;GPS2|1;OGT|1;HMG20B|1;UBXN1|1;GNL3L|1;DTX3L|1	0.832338274	8.410042194	1.91E-05	0.294720787
GO:1901184	regulation of ERBB signaling pathway	83	7	AKT1|1;RBPJ|1;PDE6G|1;NCK2|1;STAM2|1;ERRFI1|1;FBXW7|1	0.921121023	7.599435718	3.72E-05	0.294720787
GO:1903320	regulation of protein modification by small protein conjugation or removal	205	10	AKT1|1;GPS2|1;OGT|1;CDC14B|1;TNIP1|1;HMG20B|1;UBXN1|1;GNL3L|1;FBXW7|1;DTX3L|1	2.275057948	4.395492436	9.67E-05	0.384425242
GO:0031397	negative regulation of protein ubiquitination	67	6	AKT1|1;GPS2|1;OGT|1;UBXN1|1;GNL3L|1;DTX3L|1	0.743555524	8.06933686	9.70E-05	0.384425242
GO:0038127	ERBB signaling pathway	134	8	AKT1|1;RBPJ|1;PDE6G|1;NCK2|1;STAM2|1;CDC37|1;ERRFI1|1;FBXW7|1	1.487111049	5.379557907	1.23E-04	0.390416803
GO:0031324	negative regulation of cellular metabolic process	2265	43	AKT1|1;AR|1;ZFHX3|1;ATR|1;DLG3|1;ECM1|1;MECOM|1;EZH2|1;GABPA|1;GPS2|1;HP|1;IDE|1;RBPJ|1;MDM4|1;NPAT|1;PTPN6|1;RBM3|1;TFPI|1;NKX2-1|1;CNBP|1;ZNF174|1;RBM10|1;ARID1A|1;NCK2|1;OGT|1;KAT2B|1;UBA3|1;MAGED1|1;PTBP3|1;TRAP1|1;SAP18|1;TNIP1|1;HMG20B|1;LILRB1|1;PNKP|1;EID1|1;UBXN1|1;MYOZ2|1;ERRFI1|1;GNL3L|1;FBXW7|1;YLPM1|1;DTX3L|1	25.13661586	1.710651913	1.93E-04	0.460227541
GO:0042058	regulation of epidermal growth factor receptor signaling pathway	78	6	AKT1|1;PDE6G|1;NCK2|1;STAM2|1;ERRFI1|1;FBXW7|1	0.865631804	6.931353457	2.26E-04	0.460227541
GO:0042221	response to chemical	3820	63	ADH6|1;AKT1|1;ANK3|1;AR|1;ASS1|1;ZFHX3|1;ATR|1;CACNA2D1|1;CDK7|1;CHRND|1;COL2A1|1;DCC|1;DEFB1|1;DUT|1;ECM1|1;EZH2|1;GABPA|1;GPS2|1;HP|1;HTR2C|1;IDE|1;RBPJ|1;KCNC1|1;KRT8|1;MDM4|1;PRDX1|1;PLA2G4A|1;PTPN6|1;SORT1|1;CCL23|1;SLC7A1|1;SRP68|1;STAU1|1;MAP3K7|1;TFF1|1;TFPI|1;TFRC|1;NKX2-1|1;ARID1A|1;NCK2|1;OGT|1;CASK|1;GBF1|1;TNFRSF11A|1;KAT2B|1;GPR52|1;SAFB2|1;CUL7|1;RBX1|1;HNRNPDL|1;TRAP1|1;SLC25A17|1;GAS2L1|1;LILRB1|1;EHD1|1;CDC37|1;ERP44|1;TXN2|1;LSM14A|1;UBXN1|1;ERRFI1|1;FBXW7|1;S100A14|1	42.39376273	1.486067665	2.32E-04	0.460227541
GO:0048523	negative regulation of cellular process	4167	67	ACTN1|1;AKT1|1;ALK|1;ANK3|1;AR|1;ASS1|1;ZFHX3|1;ATR|1;CDK7|1;COL2A1|1;DCC|1;DLG3|1;ECM1|1;MECOM|1;EZH2|1;GABPA|1;GJA1|1;GPS2|1;HP|1;HTR2C|1;IDE|1;RBPJ|1;MDM4|1;NPAT|1;PPM1B|1;PTPN6|1;RBM3|1;SORT1|1;CCL23|1;TFF1|1;TFPI|1;NKX2-1|1;CNBP|1;ZNF174|1;RBM10|1;ARID1A|1;NCK2|1;OGT|1;CDC14B|1;CASK|1;KAT2B|1;UBA3|1;MAGED1|1;RBX1|1;PTBP3|1;TRAP1|1;STAM2|1;SAP18|1;TNIP1|1;HMG20B|1;GAS2L1|1;LILRB1|1;PNKP|1;KIFAP3|1;EID1|1;UBXN1|1;MYOZ2|1;ERRFI1|1;NLGN3|1;GNL3L|1;SDHAF2|1;FBXW7|1;YLPM1|1;PHC3|1;STK40|1;EME1|1;DTX3L|1	46.24471448	1.448814221	2.77E-04	0.487583413
GO:0065008	regulation of biological quality	3471	58	ACTN1|1;AKT1|1;ANK3|1;AR|1;ASS1|1;ALDH7A1|1;ATR|1;CACNA2D1|1;CDK7|1;CHRND|1;CLCN2|1;COL2A1|1;DCC|1;DLG3|1;EZH2|1;GJA1|1;HTR2C|1;IDE|1;RBPJ|1;KCNC1|1;KCNC4|1;LAMP1|1;MDM4|1;PRDX1|1;PTPN6|1;CCL23|1;SLC12A4|1;STAU1|1;TFF1|1;TFPI|1;TFRC|1;RBM10|1;NCK2|1;OGT|1;PPFIA3|1;CASK|1;TNFRSF11A|1;SNAP29|1;USP34|1;PTBP3|1;HMG20B|1;SLC34A2|1;EHD1|1;CDC37|1;PNKP|1;ERP44|1;SYNE1|1;TXN2|1;TMEM97|1;HSD17B7|1;NLGN3|1;GNL3L|1;FBXW7|1;S100A14|1;ALOXE3|1;L3MBTL3|1;WIPF2|1;LINGO2|1	38.5206153	1.505687268	3.43E-04	0.524387648
GO:1901186	positive regulation of ERBB signaling pathway	31	4	AKT1|1;RBPJ|1;PDE6G|1;FBXW7|1	0.344033153	11.62678644	3.64E-04	0.524387648
GO:0051172	negative regulation of nitrogen compound metabolic process	2128	40	AKT1|1;AR|1;ZFHX3|1;ATR|1;ECM1|1;MECOM|1;EZH2|1;GABPA|1;GPS2|1;IDE|1;RBPJ|1;MDM4|1;NPAT|1;PTPN6|1;RBM3|1;TFPI|1;NKX2-1|1;CNBP|1;ZNF174|1;RBM10|1;ARID1A|1;NCK2|1;OGT|1;KAT2B|1;UBA3|1;MAGED1|1;PTBP3|1;SAP18|1;TNIP1|1;HMG20B|1;LILRB1|1;PNKP|1;EID1|1;UBXN1|1;MYOZ2|1;ERRFI1|1;GNL3L|1;FBXW7|1;YLPM1|1;DTX3L|1	23.61621128	1.693751785	4.29E-04	0.566464222
GO:0061515	myeloid cell development	60	5	PTPN6|1;PTBP3|1;LILRB1|1;FBXW7|1;L3MBTL3|1	0.665870619	7.508966245	5.28E-04	0.573754597
GO:0009892	negative regulation of metabolic process	2602	46	AKT1|1;AR|1;ZFHX3|1;ATR|1;DLG3|1;ECM1|1;MECOM|1;EZH2|1;GABPA|1;GPS2|1;HP|1;IDE|1;RBPJ|1;MDM4|1;NPAT|1;PTPN6|1;RBM3|1;RPL22|1;RPL37A|1;RPS28|1;TFPI|1;NKX2-1|1;CNBP|1;ZNF174|1;RBM10|1;ARID1A|1;NCK2|1;OGT|1;KAT2B|1;UBA3|1;MAGED1|1;PTBP3|1;TRAP1|1;SAP18|1;TNIP1|1;HMG20B|1;LILRB1|1;PNKP|1;EID1|1;UBXN1|1;MYOZ2|1;ERRFI1|1;GNL3L|1;FBXW7|1;YLPM1|1;DTX3L|1	28.87658917	1.592985921	5.59E-04	0.573754597
GO:0031399	regulation of protein modification process	1667	33	AKT1|1;ALK|1;AR|1;CDK7|1;DLG3|1;MECOM|1;EZH2|1;GPS2|1;HTR2C|1;MTCP1|1;PRDX1|1;PDE6G|1;PTPN6|1;CCL23|1;MAP3K7|1;NCK2|1;OGT|1;CDC14B|1;TNFRSF11A|1;KAT2B|1;MAGED1|1;TNIP1|1;HMG20B|1;CDC37|1;PNKP|1;EID1|1;ELP4|1;UBXN1|1;ERRFI1|1;GNL3L|1;FBXW7|1;STK40|1;DTX3L|1	18.50010536	1.783773625	6.34E-04	0.573754597
GO:0043408	regulation of MAPK cascade	691	18	AKT1|1;ALK|1;AR|1;MECOM|1;EZH2|1;GPS2|1;HTR2C|1;PRDX1|1;PDE6G|1;PTPN6|1;CCL23|1;MAP3K7|1;TNFRSF11A|1;MAGED1|1;TNIP1|1;ERRFI1|1;FBXW7|1;STK40|1	7.66860996	2.347231127	6.60E-04	0.573754597
GO:0010605	negative regulation of macromolecule metabolic process	2399	43	AKT1|1;AR|1;ZFHX3|1;ATR|1;ECM1|1;MECOM|1;EZH2|1;GABPA|1;GPS2|1;IDE|1;RBPJ|1;MDM4|1;NPAT|1;PTPN6|1;RBM3|1;RPL22|1;RPL37A|1;RPS28|1;TFPI|1;NKX2-1|1;CNBP|1;ZNF174|1;RBM10|1;ARID1A|1;NCK2|1;OGT|1;KAT2B|1;UBA3|1;MAGED1|1;PTBP3|1;SAP18|1;TNIP1|1;HMG20B|1;LILRB1|1;PNKP|1;EID1|1;UBXN1|1;MYOZ2|1;ERRFI1|1;GNL3L|1;FBXW7|1;YLPM1|1;DTX3L|1	26.62372691	1.615100701	6.80E-04	0.573754597
GO:0030099	myeloid cell differentiation	361	12	ACTN1|1;GABPA|1;RBPJ|1;PTPN6|1;TFRC|1;TNFRSF11A|1;KAT2B|1;SETD1A|1;PTBP3|1;LILRB1|1;FBXW7|1;L3MBTL3|1	4.006321557	2.995266314	7.02E-04	0.573754597
GO:0021759	globus pallidus development	4	2	KCNC1|1;NKX2-1|1	0.044391375	45.05379747	7.24E-04	0.573754597
GO:0060486	Clara cell differentiation	4	2	RBPJ|1;NKX2-1|1	0.044391375	45.05379747	7.24E-04	0.573754597
GO:0051338	regulation of transferase activity	893	21	AKT1|1;ALK|1;CDK7|1;DLG3|1;EZH2|1;GPS2|1;MTCP1|1;PDE6G|1;PTPN6|1;MAP3K7|1;NCK2|1;CDC14B|1;TNFRSF11A|1;KAT2B|1;MAGED1|1;CDC37|1;PNKP|1;ELP4|1;ERRFI1|1;FBXW7|1;DTX3L|1	9.910374377	2.118991594	8.80E-04	0.664790394
GO:0031396	regulation of protein ubiquitination	181	8	AKT1|1;GPS2|1;OGT|1;CDC14B|1;UBXN1|1;GNL3L|1;FBXW7|1;DTX3L|1	2.0087097	3.98265613	9.31E-04	0.671332164
GO:0000165	MAPK cascade	839	20	AKT1|1;ALK|1;AR|1;DLG3|1;MECOM|1;EZH2|1;GPS2|1;HTR2C|1;PRDX1|1;PDE6G|1;PTPN6|1;CCL23|1;MAP3K7|1;TNFRSF11A|1;MAGED1|1;RBX1|1;TNIP1|1;ERRFI1|1;FBXW7|1;STK40|1	9.31109082	2.147976041	9.96E-04	0.687012498
GO:0045859	regulation of protein kinase activity	724	18	AKT1|1;ALK|1;CDK7|1;DLG3|1;EZH2|1;GPS2|1;MTCP1|1;PDE6G|1;PTPN6|1;MAP3K7|1;NCK2|1;TNFRSF11A|1;KAT2B|1;MAGED1|1;CDC37|1;ELP4|1;ERRFI1|1;FBXW7|1	8.0348388	2.240244073	0.001125964	0.703172916
GO:0023014	signal transduction by protein phosphorylation	850	20	AKT1|1;ALK|1;AR|1;DLG3|1;MECOM|1;EZH2|1;GPS2|1;HTR2C|1;PRDX1|1;PDE6G|1;PTPN6|1;CCL23|1;MAP3K7|1;TNFRSF11A|1;MAGED1|1;RBX1|1;TNIP1|1;ERRFI1|1;FBXW7|1;STK40|1	9.4331671	2.120178704	0.001167528	0.703172916
GO:0042536	negative regulation of tumor necrosis factor biosynthetic process	5	2	LILRB1|1;ERRFI1|1	0.055489218	36.04303797	0.001197305	0.703172916
GO:2001205	negative regulation of osteoclast development	5	2	LILRB1|1;FBXW7|1	0.055489218	36.04303797	0.001197305	0.703172916
GO:0048519	negative regulation of biological process	4669	70	ACTN1|1;AKT1|1;ALK|1;ANK3|1;AR|1;ASS1|1;ZFHX3|1;ATR|1;CDK7|1;COL2A1|1;DCC|1;DLG3|1;ECM1|1;MECOM|1;EZH2|1;GABPA|1;GJA1|1;GPS2|1;HP|1;HTR2C|1;IDE|1;RBPJ|1;MDM4|1;NPAT|1;PPM1B|1;PTPN6|1;RBM3|1;RPL22|1;RPL37A|1;RPS28|1;SORT1|1;CCL23|1;TFF1|1;TFPI|1;NKX2-1|1;CNBP|1;ZNF174|1;RBM10|1;ARID1A|1;NCK2|1;OGT|1;CDC14B|1;CASK|1;KAT2B|1;UBA3|1;MAGED1|1;RBX1|1;PTBP3|1;TRAP1|1;STAM2|1;SAP18|1;TNIP1|1;HMG20B|1;GAS2L1|1;LILRB1|1;PNKP|1;KIFAP3|1;EID1|1;UBXN1|1;MYOZ2|1;ERRFI1|1;NLGN3|1;GNL3L|1;SDHAF2|1;FBXW7|1;YLPM1|1;PHC3|1;STK40|1;EME1|1;DTX3L|1	51.81583199	1.350938455	0.001575931	0.883973986
GO:0007173	epidermal growth factor receptor signaling pathway	113	6	AKT1|1;PDE6G|1;NCK2|1;STAM2|1;ERRFI1|1;FBXW7|1	1.254056332	4.784474067	0.001616652	0.883973986
GO:0010558	negative regulation of macromolecule biosynthetic process	1347	27	AR|1;ZFHX3|1;ATR|1;MECOM|1;EZH2|1;GABPA|1;GPS2|1;RBPJ|1;MDM4|1;NPAT|1;RBM3|1;NKX2-1|1;CNBP|1;ZNF174|1;RBM10|1;ARID1A|1;NCK2|1;UBA3|1;MAGED1|1;SAP18|1;LILRB1|1;EID1|1;MYOZ2|1;ERRFI1|1;GNL3L|1;FBXW7|1;YLPM1|1	14.94879539	1.8061656	0.00178117	0.911967207
GO:0090166	Golgi disassembly	6	2	STX5|1;GBF1|1	0.066587062	30.03586498	0.001782871	0.911967207
GO:0009890	negative regulation of biosynthetic process	1422	28	AR|1;ZFHX3|1;ATR|1;MECOM|1;EZH2|1;GABPA|1;GPS2|1;RBPJ|1;MDM4|1;NPAT|1;RBM3|1;NKX2-1|1;CNBP|1;ZNF174|1;RBM10|1;ARID1A|1;NCK2|1;UBA3|1;MAGED1|1;TRAP1|1;SAP18|1;LILRB1|1;EID1|1;MYOZ2|1;ERRFI1|1;GNL3L|1;FBXW7|1;YLPM1|1	15.78113367	1.774270505	0.001890537	0.928612427
GO:0051716	cellular response to stimulus	6085	86	AKT1|1;ALK|1;ANK3|1;AR|1;ASS1|1;ATR|1;CACNA2D1|1;CDK7|1;CHRND|1;COL2A1|1;DCC|1;DEFB1|1;DLG3|1;DUT|1;ECM1|1;MECOM|1;EZH2|1;GABPA|1;GJA1|1;GPS2|1;HP|1;HTR2C|1;IDE|1;RBPJ|1;KCNC1|1;KRT8|1;LAMP1|1;MDM4|1;NCF2|1;PRDX1|1;PDE6G|1;PI4KA|1;PLA2G4A|1;PLP1|1;PPM1B|1;PTPN6|1;SORT1|1;CCL23|1;STAU1|1;MAP3K7|1;TFF1|1;TFPI|1;TFRC|1;NKX2-1|1;VIPR1|1;ARID1A|1;NCK2|1;OGT|1;CDC14B|1;CASK|1;GBF1|1;TNFRSF11A|1;KAT2B|1;GPR52|1;MAGED1|1;SAFB2|1;USP34|1;CUL7|1;RBX1|1;HNRNPDL|1;TRAP1|1;STAM2|1;TNIP1|1;GAS2L1|1;LILRB1|1;EHD1|1;CDC37|1;PNKP|1;KIFAP3|1;ERP44|1;TXN2|1;LSM14A|1;UBXN1|1;UFC1|1;MYOZ2|1;ERRFI1|1;NLGN3|1;SDHAF2|1;FBXW7|1;S100A14|1;ALOXE3|1;STK40|1;EME1|1;WIPF2|1;DTX3L|1;POLN|1	67.53037859	1.273500931	0.001933044	0.928612427
